FileName, background_texture_name, object_file_name, object_texture_name, X-coord, Y-coord, rotation about X (rx), ry, rz 
(10)tr_fruit8602_TL10_01_B00_FACE_31_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_31_ICAsum_W_1.obj, tr_fruit8602.jpg, -320, 30, 50, 0, -130
(11)tr_fruit8602_TL10_01_B00_FACE_32_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_32_ICAsum_W_1.obj, tr_fruit8602.jpg, -280, -120, 190, 270, -130
(12)tr_fruit8602_TL10_01_B00_FACE_33_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_33_ICAsum_W_1.obj, tr_fruit8602.jpg, 160, -270, 150, 360, -20
(13)tr_fruit8602_TL10_01_B00_FACE_34_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_34_ICAsum_W_1.obj, tr_fruit8602.jpg, -120, -120, 260, 320, 0
(14)tr_fruit8602_TL10_01_B00_FACE_35_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_35_ICAsum_W_1.obj, tr_fruit8602.jpg, -360, -150, 280, 0, -130
(15)tr_fruit8602_TL10_01_B00_FACE_36_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_36_ICAsum_W_1.obj, tr_fruit8602.jpg, -40, 270, 180, 60, 40
(16)tr_fruit8602_TL10_01_B00_FACE_37_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_37_ICAsum_W_1.obj, tr_fruit8602.jpg, 80, -270, 270, 300, 50
(17)tr_fruit8602_TL10_01_B00_FACE_38_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_38_ICAsum_W_1.obj, tr_fruit8602.jpg, 40, 270, 40, 220, -100
(18)tr_fruit8602_TL10_01_B00_FACE_39_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_39_ICAsum_W_1.obj, tr_fruit8602.jpg, -120, 180, 60, 80, 130
(19)tr_fruit8602_TL10_01_B00_FACE_40_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_40_ICAsum_W_1.obj, tr_fruit8602.jpg, -160, -120, 20, 330, 40
(20)woods8603_TL10_01_B00_FACE_31_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_31_ICAsum_W_1.obj, woods8603.jpg, -160, 90, 230, 350, 100
(21)woods8603_TL10_01_B00_FACE_32_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_32_ICAsum_W_1.obj, woods8603.jpg, 240, 30, 30, 340, 0
(22)woods8603_TL10_01_B00_FACE_33_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_33_ICAsum_W_1.obj, woods8603.jpg, -400, 270, 10, 200, 110
(23)woods8603_TL10_01_B00_FACE_34_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_34_ICAsum_W_1.obj, woods8603.jpg, 280, -90, 110, 130, 70
(24)woods8603_TL10_01_B00_FACE_35_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_35_ICAsum_W_1.obj, woods8603.jpg, -200, 120, 160, 330, -100
(25)woods8603_TL10_01_B00_FACE_36_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_36_ICAsum_W_1.obj, woods8603.jpg, 360, -120, 290, 20, 90
(26)woods8603_TL10_01_B00_FACE_37_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_37_ICAsum_W_1.obj, woods8603.jpg, 200, -150, 110, 80, 40
(27)woods8603_TL10_01_B00_FACE_38_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_38_ICAsum_W_1.obj, woods8603.jpg, 280, -60, 350, 180, -50
(28)woods8603_TL10_01_B00_FACE_39_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_39_ICAsum_W_1.obj, woods8603.jpg, -280, -210, 270, 30, 10
(29)woods8603_TL10_01_B00_FACE_40_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_40_ICAsum_W_1.obj, woods8603.jpg, 80, 30, 290, 60, 50
(30)tr_fruit8606_TL10_01_B00_FACE_31_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_31_ICAsum_W_1.obj, tr_fruit8606.jpg, -120, 300, 130, 240, -50
(31)tr_fruit8606_TL10_01_B00_FACE_32_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_32_ICAsum_W_1.obj, tr_fruit8606.jpg, 200, -300, 260, 130, -70
(32)tr_fruit8606_TL10_01_B00_FACE_33_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_33_ICAsum_W_1.obj, tr_fruit8606.jpg, 200, 0, 270, 110, 100
(33)tr_fruit8606_TL10_01_B00_FACE_34_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_34_ICAsum_W_1.obj, tr_fruit8606.jpg, 0, 210, 130, 350, 0
(34)tr_fruit8606_TL10_01_B00_FACE_35_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_35_ICAsum_W_1.obj, tr_fruit8606.jpg, 80, -180, 40, 20, -20
(35)tr_fruit8606_TL10_01_B00_FACE_36_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_36_ICAsum_W_1.obj, tr_fruit8606.jpg, 120, 150, 50, 210, -60
(36)tr_fruit8606_TL10_01_B00_FACE_37_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_37_ICAsum_W_1.obj, tr_fruit8606.jpg, -160, -120, 290, 280, -160
(37)tr_fruit8606_TL10_01_B00_FACE_38_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_38_ICAsum_W_1.obj, tr_fruit8606.jpg, 320, 90, 250, 180, -130
(38)tr_fruit8606_TL10_01_B00_FACE_39_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_39_ICAsum_W_1.obj, tr_fruit8606.jpg, -360, -60, 100, 220, 30
(39)tr_fruit8606_TL10_01_B00_FACE_40_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_40_ICAsum_W_1.obj, tr_fruit8606.jpg, -80, -240, 270, 170, -10
(40)tr_fruit8604_TL10_01_B00_FACE_31_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_31_ICAsum_W_1.obj, tr_fruit8604.jpg, -200, 270, 330, 160, -170
(41)tr_fruit8604_TL10_01_B00_FACE_32_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_32_ICAsum_W_1.obj, tr_fruit8604.jpg, 200, 30, 250, 30, -170
(42)tr_fruit8604_TL10_01_B00_FACE_33_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_33_ICAsum_W_1.obj, tr_fruit8604.jpg, -240, -120, 120, 260, 160
(43)tr_fruit8604_TL10_01_B00_FACE_34_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_34_ICAsum_W_1.obj, tr_fruit8604.jpg, -80, -270, 360, 30, 100
(44)tr_fruit8604_TL10_01_B00_FACE_35_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_35_ICAsum_W_1.obj, tr_fruit8604.jpg, 200, 180, 190, 330, -100
(45)tr_fruit8604_TL10_01_B00_FACE_36_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_36_ICAsum_W_1.obj, tr_fruit8604.jpg, 80, -60, 330, 210, -170
(46)tr_fruit8604_TL10_01_B00_FACE_37_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_37_ICAsum_W_1.obj, tr_fruit8604.jpg, 200, -180, 120, 10, 30
(47)tr_fruit8604_TL10_01_B00_FACE_38_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_38_ICAsum_W_1.obj, tr_fruit8604.jpg, -160, 300, 320, 290, -100
(48)tr_fruit8604_TL10_01_B00_FACE_39_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_39_ICAsum_W_1.obj, tr_fruit8604.jpg, -40, -270, 40, 240, -50
(49)tr_fruit8604_TL10_01_B00_FACE_40_woods8605.jpg, woods8605.jpg, TL10_01_B00_FACE_40_ICAsum_W_1.obj, tr_fruit8604.jpg, 40, 180, 290, 30, -90
(50)woods8602_TL10_01_B00_FACE_31_tr_fruit8603.jpg, tr_fruit8603.jpg, TL10_01_B00_FACE_31_ICAsum_W_1.obj, woods8602.jpg, 320, -210, 310, 140, 0
(51)woods8602_TL10_01_B00_FACE_32_tr_fruit8603.jpg, tr_fruit8603.jpg, TL10_01_B00_FACE_32_ICAsum_W_1.obj, woods8602.jpg, -120, 270, 60, 220, 130
(52)woods8602_TL10_01_B00_FACE_33_tr_fruit8603.jpg, tr_fruit8603.jpg, TL10_01_B00_FACE_33_ICAsum_W_1.obj, woods8602.jpg, 320, -240, 120, 260, 70
(53)woods8602_TL10_01_B00_FACE_34_tr_fruit8603.jpg, tr_fruit8603.jpg, TL10_01_B00_FACE_34_ICAsum_W_1.obj, woods8602.jpg, 400, -90, 230, 80, 10
(54)woods8602_TL10_01_B00_FACE_35_tr_fruit8603.jpg, tr_fruit8603.jpg, TL10_01_B00_FACE_35_ICAsum_W_1.obj, woods8602.jpg, 280, 210, 160, 220, 90
(55)woods8602_TL10_01_B00_FACE_36_tr_fruit8603.jpg, tr_fruit8603.jpg, TL10_01_B00_FACE_36_ICAsum_W_1.obj, woods8602.jpg, -160, 270, 270, 10, -160
(56)woods8602_TL10_01_B00_FACE_37_tr_fruit8603.jpg, tr_fruit8603.jpg, TL10_01_B00_FACE_37_ICAsum_W_1.obj, woods8602.jpg, 320, 300, 310, 340, -10
(57)woods8602_TL10_01_B00_FACE_38_tr_fruit8603.jpg, tr_fruit8603.jpg, TL10_01_B00_FACE_38_ICAsum_W_1.obj, woods8602.jpg, -360, 300, 270, 50, -170
(58)woods8602_TL10_01_B00_FACE_39_tr_fruit8603.jpg, tr_fruit8603.jpg, TL10_01_B00_FACE_39_ICAsum_W_1.obj, woods8602.jpg, -320, -300, 340, 310, -140
(59)woods8602_TL10_01_B00_FACE_40_tr_fruit8603.jpg, tr_fruit8603.jpg, TL10_01_B00_FACE_40_ICAsum_W_1.obj, woods8602.jpg, -160, -180, 70, 60, 140
(60)tr_fruit8605_TL10_01_B00_FACE_31_woods8603.jpg, woods8603.jpg, TL10_01_B00_FACE_31_ICAsum_W_1.obj, tr_fruit8605.jpg, -360, -240, 110, 230, 20
(61)tr_fruit8605_TL10_01_B00_FACE_32_woods8603.jpg, woods8603.jpg, TL10_01_B00_FACE_32_ICAsum_W_1.obj, tr_fruit8605.jpg, 360, 270, 130, 170, 40
(62)tr_fruit8605_TL10_01_B00_FACE_33_woods8603.jpg, woods8603.jpg, TL10_01_B00_FACE_33_ICAsum_W_1.obj, tr_fruit8605.jpg, 120, -60, 20, 300, -90
(63)tr_fruit8605_TL10_01_B00_FACE_34_woods8603.jpg, woods8603.jpg, TL10_01_B00_FACE_34_ICAsum_W_1.obj, tr_fruit8605.jpg, -360, 0, 190, 220, 170
(64)tr_fruit8605_TL10_01_B00_FACE_35_woods8603.jpg, woods8603.jpg, TL10_01_B00_FACE_35_ICAsum_W_1.obj, tr_fruit8605.jpg, 80, 150, 190, 290, -20
(65)tr_fruit8605_TL10_01_B00_FACE_36_woods8603.jpg, woods8603.jpg, TL10_01_B00_FACE_36_ICAsum_W_1.obj, tr_fruit8605.jpg, -80, -270, 40, 10, -150
(66)tr_fruit8605_TL10_01_B00_FACE_37_woods8603.jpg, woods8603.jpg, TL10_01_B00_FACE_37_ICAsum_W_1.obj, tr_fruit8605.jpg, -280, -120, 130, 290, 30
(67)tr_fruit8605_TL10_01_B00_FACE_38_woods8603.jpg, woods8603.jpg, TL10_01_B00_FACE_38_ICAsum_W_1.obj, tr_fruit8605.jpg, -120, 0, 130, 350, 120
(68)tr_fruit8605_TL10_01_B00_FACE_39_woods8603.jpg, woods8603.jpg, TL10_01_B00_FACE_39_ICAsum_W_1.obj, tr_fruit8605.jpg, 160, 120, 190, 50, -10
(69)tr_fruit8605_TL10_01_B00_FACE_40_woods8603.jpg, woods8603.jpg, TL10_01_B00_FACE_40_ICAsum_W_1.obj, tr_fruit8605.jpg, -160, -300, 60, 90, 90
(70)tr_fruit8606_TL10_01_B00_FACE_31_tr_fruit8604.jpg, tr_fruit8604.jpg, TL10_01_B00_FACE_31_ICAsum_W_1.obj, tr_fruit8606.jpg, -360, 150, 250, 320, 60
(71)tr_fruit8606_TL10_01_B00_FACE_32_tr_fruit8604.jpg, tr_fruit8604.jpg, TL10_01_B00_FACE_32_ICAsum_W_1.obj, tr_fruit8606.jpg, -120, -30, 340, 10, 160
(72)tr_fruit8606_TL10_01_B00_FACE_33_tr_fruit8604.jpg, tr_fruit8604.jpg, TL10_01_B00_FACE_33_ICAsum_W_1.obj, tr_fruit8606.jpg, 200, 60, 360, 30, 70
(73)tr_fruit8606_TL10_01_B00_FACE_34_tr_fruit8604.jpg, tr_fruit8604.jpg, TL10_01_B00_FACE_34_ICAsum_W_1.obj, tr_fruit8606.jpg, 280, -90, 100, 310, -90
(74)tr_fruit8606_TL10_01_B00_FACE_35_tr_fruit8604.jpg, tr_fruit8604.jpg, TL10_01_B00_FACE_35_ICAsum_W_1.obj, tr_fruit8606.jpg, -40, 180, 110, 290, -110
(75)tr_fruit8606_TL10_01_B00_FACE_36_tr_fruit8604.jpg, tr_fruit8604.jpg, TL10_01_B00_FACE_36_ICAsum_W_1.obj, tr_fruit8606.jpg, -200, -120, 230, 270, -180
(76)tr_fruit8606_TL10_01_B00_FACE_37_tr_fruit8604.jpg, tr_fruit8604.jpg, TL10_01_B00_FACE_37_ICAsum_W_1.obj, tr_fruit8606.jpg, -280, -150, 320, 100, -40
(77)tr_fruit8606_TL10_01_B00_FACE_38_tr_fruit8604.jpg, tr_fruit8604.jpg, TL10_01_B00_FACE_38_ICAsum_W_1.obj, tr_fruit8606.jpg, -320, 90, 250, 290, 130
(78)tr_fruit8606_TL10_01_B00_FACE_39_tr_fruit8604.jpg, tr_fruit8604.jpg, TL10_01_B00_FACE_39_ICAsum_W_1.obj, tr_fruit8606.jpg, 400, 150, 220, 290, -10
(79)tr_fruit8606_TL10_01_B00_FACE_40_tr_fruit8604.jpg, tr_fruit8604.jpg, TL10_01_B00_FACE_40_ICAsum_W_1.obj, tr_fruit8606.jpg, 200, 0, 190, 210, 60
(80)woods8602_TL10_01_B00_FACE_31_woods8603.jpg, woods8603.jpg, TL10_01_B00_FACE_31_ICAsum_W_1.obj, woods8602.jpg, -200, -60, 40, 160, -40
(81)woods8602_TL10_01_B00_FACE_32_woods8603.jpg, woods8603.jpg, TL10_01_B00_FACE_32_ICAsum_W_1.obj, woods8602.jpg, -120, -210, 40, 240, 80
(82)woods8602_TL10_01_B00_FACE_33_woods8603.jpg, woods8603.jpg, TL10_01_B00_FACE_33_ICAsum_W_1.obj, woods8602.jpg, -40, 30, 340, 280, -180
(83)woods8602_TL10_01_B00_FACE_34_woods8603.jpg, woods8603.jpg, TL10_01_B00_FACE_34_ICAsum_W_1.obj, woods8602.jpg, 400, 120, 360, 150, 150
(84)woods8602_TL10_01_B00_FACE_35_woods8603.jpg, woods8603.jpg, TL10_01_B00_FACE_35_ICAsum_W_1.obj, woods8602.jpg, -120, -30, 320, 330, 150
(85)woods8602_TL10_01_B00_FACE_36_woods8603.jpg, woods8603.jpg, TL10_01_B00_FACE_36_ICAsum_W_1.obj, woods8602.jpg, -40, 270, 150, 350, -150
(86)woods8602_TL10_01_B00_FACE_37_woods8603.jpg, woods8603.jpg, TL10_01_B00_FACE_37_ICAsum_W_1.obj, woods8602.jpg, -200, -90, 60, 150, -160
(87)woods8602_TL10_01_B00_FACE_38_woods8603.jpg, woods8603.jpg, TL10_01_B00_FACE_38_ICAsum_W_1.obj, woods8602.jpg, -120, 90, 80, 90, -80
(88)woods8602_TL10_01_B00_FACE_39_woods8603.jpg, woods8603.jpg, TL10_01_B00_FACE_39_ICAsum_W_1.obj, woods8602.jpg, -200, -90, 220, 290, -130
(89)woods8602_TL10_01_B00_FACE_40_woods8603.jpg, woods8603.jpg, TL10_01_B00_FACE_40_ICAsum_W_1.obj, woods8602.jpg, -160, 60, 30, 350, 70
(90)tr_fruit8605_TL10_01_B00_FACE_31_woods8604.jpg, woods8604.jpg, TL10_01_B00_FACE_31_ICAsum_W_1.obj, tr_fruit8605.jpg, 400, 90, 120, 110, -110
(91)tr_fruit8605_TL10_01_B00_FACE_32_woods8604.jpg, woods8604.jpg, TL10_01_B00_FACE_32_ICAsum_W_1.obj, tr_fruit8605.jpg, 160, -150, 10, 0, 50
(92)tr_fruit8605_TL10_01_B00_FACE_33_woods8604.jpg, woods8604.jpg, TL10_01_B00_FACE_33_ICAsum_W_1.obj, tr_fruit8605.jpg, 360, -240, 290, 90, 70
(93)tr_fruit8605_TL10_01_B00_FACE_34_woods8604.jpg, woods8604.jpg, TL10_01_B00_FACE_34_ICAsum_W_1.obj, tr_fruit8605.jpg, -80, -150, 90, 320, -70
(94)tr_fruit8605_TL10_01_B00_FACE_35_woods8604.jpg, woods8604.jpg, TL10_01_B00_FACE_35_ICAsum_W_1.obj, tr_fruit8605.jpg, 320, -270, 240, 70, 160
(95)tr_fruit8605_TL10_01_B00_FACE_36_woods8604.jpg, woods8604.jpg, TL10_01_B00_FACE_36_ICAsum_W_1.obj, tr_fruit8605.jpg, 320, -120, 300, 160, 100
(96)tr_fruit8605_TL10_01_B00_FACE_37_woods8604.jpg, woods8604.jpg, TL10_01_B00_FACE_37_ICAsum_W_1.obj, tr_fruit8605.jpg, -160, 60, 130, 110, 50
(97)tr_fruit8605_TL10_01_B00_FACE_38_woods8604.jpg, woods8604.jpg, TL10_01_B00_FACE_38_ICAsum_W_1.obj, tr_fruit8605.jpg, -200, 180, 90, 150, -20
(98)tr_fruit8605_TL10_01_B00_FACE_39_woods8604.jpg, woods8604.jpg, TL10_01_B00_FACE_39_ICAsum_W_1.obj, tr_fruit8605.jpg, -80, -60, 70, 270, 10
(99)tr_fruit8605_TL10_01_B00_FACE_40_woods8604.jpg, woods8604.jpg, TL10_01_B00_FACE_40_ICAsum_W_1.obj, tr_fruit8605.jpg, -320, -150, 0, 220, 70
(100)tr_fruit8605_TL10_01_B00_FACE_31_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_31_ICAsum_W_1.obj, tr_fruit8605.jpg, 40, -120, 270, 280, -170
(101)tr_fruit8605_TL10_01_B00_FACE_32_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_32_ICAsum_W_1.obj, tr_fruit8605.jpg, 120, 270, 300, 190, -170
(102)tr_fruit8605_TL10_01_B00_FACE_33_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_33_ICAsum_W_1.obj, tr_fruit8605.jpg, -40, -150, 20, 70, 40
(103)tr_fruit8605_TL10_01_B00_FACE_34_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_34_ICAsum_W_1.obj, tr_fruit8605.jpg, -280, 30, 240, 310, -170
(104)tr_fruit8605_TL10_01_B00_FACE_35_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_35_ICAsum_W_1.obj, tr_fruit8605.jpg, 320, 30, 200, 150, -60
(105)tr_fruit8605_TL10_01_B00_FACE_36_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_36_ICAsum_W_1.obj, tr_fruit8605.jpg, 280, 120, 290, 110, 80
(106)tr_fruit8605_TL10_01_B00_FACE_37_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_37_ICAsum_W_1.obj, tr_fruit8605.jpg, 80, -30, 210, 140, -30
(107)tr_fruit8605_TL10_01_B00_FACE_38_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_38_ICAsum_W_1.obj, tr_fruit8605.jpg, 320, 30, 130, 130, -140
(108)tr_fruit8605_TL10_01_B00_FACE_39_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_39_ICAsum_W_1.obj, tr_fruit8605.jpg, 280, -300, 230, 90, 40
(109)tr_fruit8605_TL10_01_B00_FACE_40_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_40_ICAsum_W_1.obj, tr_fruit8605.jpg, -360, -90, 270, 30, -60
(110)tr_fruit8606_TL10_01_B00_FACE_31_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_31_ICAsum_W_1.obj, tr_fruit8606.jpg, 200, -150, 130, 110, 40
(111)tr_fruit8606_TL10_01_B00_FACE_32_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_32_ICAsum_W_1.obj, tr_fruit8606.jpg, 200, -180, 100, 180, 160
(112)tr_fruit8606_TL10_01_B00_FACE_33_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_33_ICAsum_W_1.obj, tr_fruit8606.jpg, -80, 60, 280, 260, -10
(113)tr_fruit8606_TL10_01_B00_FACE_34_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_34_ICAsum_W_1.obj, tr_fruit8606.jpg, -160, 30, 170, 120, -50
(114)tr_fruit8606_TL10_01_B00_FACE_35_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_35_ICAsum_W_1.obj, tr_fruit8606.jpg, -400, 150, 280, 90, 140
(115)tr_fruit8606_TL10_01_B00_FACE_36_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_36_ICAsum_W_1.obj, tr_fruit8606.jpg, 160, 150, 320, 150, 10
(116)tr_fruit8606_TL10_01_B00_FACE_37_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_37_ICAsum_W_1.obj, tr_fruit8606.jpg, 160, -90, 240, 30, -70
(117)tr_fruit8606_TL10_01_B00_FACE_38_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_38_ICAsum_W_1.obj, tr_fruit8606.jpg, 200, -300, 150, 340, 170
(118)tr_fruit8606_TL10_01_B00_FACE_39_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_39_ICAsum_W_1.obj, tr_fruit8606.jpg, 200, 240, 310, 90, -120
(119)tr_fruit8606_TL10_01_B00_FACE_40_tr_fruit8601.jpg, tr_fruit8601.jpg, TL10_01_B00_FACE_40_ICAsum_W_1.obj, tr_fruit8606.jpg, -400, -150, 240, 280, -10
(120)tr_fruit8603_TL10_01_B00_FACE_31_tr_fruit8604.jpg, tr_fruit8604.jpg, TL10_01_B00_FACE_31_ICAsum_W_1.obj, tr_fruit8603.jpg, 200, 180, 100, 70, -150
(121)tr_fruit8603_TL10_01_B00_FACE_32_tr_fruit8604.jpg, tr_fruit8604.jpg, TL10_01_B00_FACE_32_ICAsum_W_1.obj, tr_fruit8603.jpg, 40, -120, 280, 160, -110
(122)tr_fruit8603_TL10_01_B00_FACE_33_tr_fruit8604.jpg, tr_fruit8604.jpg, TL10_01_B00_FACE_33_ICAsum_W_1.obj, tr_fruit8603.jpg, -360, -120, 320, 70, 110
(123)tr_fruit8603_TL10_01_B00_FACE_34_tr_fruit8604.jpg, tr_fruit8604.jpg, TL10_01_B00_FACE_34_ICAsum_W_1.obj, tr_fruit8603.jpg, 320, -240, 170, 180, 90
(124)tr_fruit8603_TL10_01_B00_FACE_35_tr_fruit8604.jpg, tr_fruit8604.jpg, TL10_01_B00_FACE_35_ICAsum_W_1.obj, tr_fruit8603.jpg, 400, 0, 350, 190, 170
(125)tr_fruit8603_TL10_01_B00_FACE_36_tr_fruit8604.jpg, tr_fruit8604.jpg, TL10_01_B00_FACE_36_ICAsum_W_1.obj, tr_fruit8603.jpg, 240, -180, 140, 190, 40
(126)tr_fruit8603_TL10_01_B00_FACE_37_tr_fruit8604.jpg, tr_fruit8604.jpg, TL10_01_B00_FACE_37_ICAsum_W_1.obj, tr_fruit8603.jpg, 120, 210, 150, 40, -10
(127)tr_fruit8603_TL10_01_B00_FACE_38_tr_fruit8604.jpg, tr_fruit8604.jpg, TL10_01_B00_FACE_38_ICAsum_W_1.obj, tr_fruit8603.jpg, -80, 30, 30, 150, 160
(128)tr_fruit8603_TL10_01_B00_FACE_39_tr_fruit8604.jpg, tr_fruit8604.jpg, TL10_01_B00_FACE_39_ICAsum_W_1.obj, tr_fruit8603.jpg, 0, -120, 210, 240, -110
(129)tr_fruit8603_TL10_01_B00_FACE_40_tr_fruit8604.jpg, tr_fruit8604.jpg, TL10_01_B00_FACE_40_ICAsum_W_1.obj, tr_fruit8603.jpg, 40, 270, 0, 220, -140
(130)tr_fruit8604_TL10_01_B00_FACE_31_tr_fruit8602.jpg, tr_fruit8602.jpg, TL10_01_B00_FACE_31_ICAsum_W_1.obj, tr_fruit8604.jpg, -80, 180, 130, 340, -140
(131)tr_fruit8604_TL10_01_B00_FACE_32_tr_fruit8602.jpg, tr_fruit8602.jpg, TL10_01_B00_FACE_32_ICAsum_W_1.obj, tr_fruit8604.jpg, -400, 0, 340, 80, 10
(132)tr_fruit8604_TL10_01_B00_FACE_33_tr_fruit8602.jpg, tr_fruit8602.jpg, TL10_01_B00_FACE_33_ICAsum_W_1.obj, tr_fruit8604.jpg, 0, -270, 220, 120, -160
(133)tr_fruit8604_TL10_01_B00_FACE_34_tr_fruit8602.jpg, tr_fruit8602.jpg, TL10_01_B00_FACE_34_ICAsum_W_1.obj, tr_fruit8604.jpg, -320, 210, 290, 50, -40
(134)tr_fruit8604_TL10_01_B00_FACE_35_tr_fruit8602.jpg, tr_fruit8602.jpg, TL10_01_B00_FACE_35_ICAsum_W_1.obj, tr_fruit8604.jpg, 400, 240, 170, 250, -130
